scenarioId,playerFixtureId,enemyFixtureId,developmentLevel,orientation,battles,playerWins,enemyWins,draws,playerScoreRate,roundLimitRate,meanRounds,p90Rounds,meanPlayerRound1RawDamage,meanEnemyRound1RawDamage,meanPlayerSurvivors,meanEnemySurvivors,meanPlayerSummonFailures,meanEnemySummonFailures,meanPlayerShieldBlocks,meanEnemyShieldBlocks,meanPlayerPermanentDelta,meanEnemyPermanentDelta,effectLimitHits,exceptions
B01_SHIELD_N__VS__B02_BREAK_N,B01_SHIELD_N,B02_BREAK_N,N,A_PLAYER,100,45,32,23,0.565,0,2.12,3,80.88,103.11,0.74,0.48,0,0,6.59,5.5,2,4,0,0
B02_BREAK_N__VS__B01_SHIELD_N,B02_BREAK_N,B01_SHIELD_N,N,B_PLAYER,100,36,43,21,0.465,0,2.13,3,108.89,84.94,0.42,0.68,0,0,5.62,6.4,4,2,0,0
B01_SHIELD_N__VS__B03_SUMMON_N,B01_SHIELD_N,B03_SUMMON_N,N,A_PLAYER,100,100,0,0,1,0,1.16,2,114.69,76.22,3.06,0,0,0,6.2,0,2,4.44,0,0
B03_SUMMON_N__VS__B01_SHIELD_N,B03_SUMMON_N,B01_SHIELD_N,N,B_PLAYER,100,0,100,0,0,0,1.15,2,77.25,113.42,0,2.95,0,0,0,6.09,4.46,2,0,0
B01_SHIELD_N__VS__B04_DEATH_N,B01_SHIELD_N,B04_DEATH_N,N,A_PLAYER,100,90,0,10,0.95,0,1.8,2,84.95,176.55,1.46,0,0,0,6.41,0,2,17.88,0,0
B04_DEATH_N__VS__B01_SHIELD_N,B04_DEATH_N,B01_SHIELD_N,N,B_PLAYER,100,0,96,4,0.02,0,1.79,2,179.66,83.46,0,1.8,0,0,0,6.26,17.5,2,0,0
B01_SHIELD_N__VS__B05_SPELL_N,B01_SHIELD_N,B05_SPELL_N,N,A_PLAYER,100,75,7,18,0.84,0,2.02,2,85.73,119.42,1.28,0.08,0,0,6.8,2,2,0,0,0
B05_SPELL_N__VS__B01_SHIELD_N,B05_SPELL_N,B01_SHIELD_N,N,B_PLAYER,100,6,81,13,0.125,0,2,2,117.38,83.7,0.06,1.48,0,0,2,6.63,0,2,0,0
B01_SHIELD_N__VS__B06_REFRESH_N,B01_SHIELD_N,B06_REFRESH_N,N,A_PLAYER,100,100,0,0,1,0,1.94,2,87.17,90.61,2.16,0,0,0,6.32,2,2,0,0,0
B06_REFRESH_N__VS__B01_SHIELD_N,B06_REFRESH_N,B01_SHIELD_N,N,B_PLAYER,100,0,100,0,0,0,1.87,2,92.97,89.21,0,2.29,0,0,2,6.15,0,2,0,0
B02_BREAK_N__VS__B03_SUMMON_N,B02_BREAK_N,B03_SUMMON_N,N,A_PLAYER,100,100,0,0,1,0,1.21,2,138.16,73.28,2.78,0,0,0,5.43,0,4,3.9,0,0
B03_SUMMON_N__VS__B02_BREAK_N,B03_SUMMON_N,B02_BREAK_N,N,B_PLAYER,100,0,100,0,0,0,1.14,2,73.85,144.24,0,2.69,0,0,0,5.25,4,4,0,0
B02_BREAK_N__VS__B04_DEATH_N,B02_BREAK_N,B04_DEATH_N,N,A_PLAYER,100,99,0,1,0.995,0,1.56,2,89.99,147.78,2.27,0,0,0,5.5,0,4,14.66,0,0
B04_DEATH_N__VS__B02_BREAK_N,B04_DEATH_N,B02_BREAK_N,N,B_PLAYER,100,0,99,1,0.005,0,1.61,2,160.33,92.15,0,2.32,0,0,0,5.25,17.5,4,0,0
B02_BREAK_N__VS__B05_SPELL_N,B02_BREAK_N,B05_SPELL_N,N,A_PLAYER,100,84,5,11,0.895,0,1.85,2,106.17,112.82,1.84,0.06,0,0,5.52,2,4,0,0,0
B05_SPELL_N__VS__B02_BREAK_N,B05_SPELL_N,B02_BREAK_N,N,B_PLAYER,100,3,87,10,0.08,0,1.99,2,104.99,96.77,0.03,1.68,0,0,2,5.5,0,4,0,0
B02_BREAK_N__VS__B06_REFRESH_N,B02_BREAK_N,B06_REFRESH_N,N,A_PLAYER,100,97,0,3,0.985,0,1.59,2,106.56,86.87,2.23,0,0,0,5.26,2,4,0,0,0
B06_REFRESH_N__VS__B02_BREAK_N,B06_REFRESH_N,B02_BREAK_N,N,B_PLAYER,100,0,98,2,0.01,0,1.85,2,80.6,96.47,0,2.23,0,0,2,5.18,0,4,0,0
B03_SUMMON_N__VS__B04_DEATH_N,B03_SUMMON_N,B04_DEATH_N,N,A_PLAYER,100,0,99,1,0.005,0,1.01,1,69.38,203.81,0,1.76,0,0,0,0,4.77,17.4,0,0
B04_DEATH_N__VS__B03_SUMMON_N,B04_DEATH_N,B03_SUMMON_N,N,B_PLAYER,100,100,0,0,1,0,1,1,194.63,66.96,1.88,0,0,0,0,0,17.88,4.65,0,0
B03_SUMMON_N__VS__B05_SPELL_N,B03_SUMMON_N,B05_SPELL_N,N,A_PLAYER,100,0,100,0,0,0,1,1,67.85,140.35,0,3.05,0,0,0,2,4.78,0,0,0
B05_SPELL_N__VS__B03_SUMMON_N,B05_SPELL_N,B03_SUMMON_N,N,B_PLAYER,100,100,0,0,1,0,1,1,140.18,66.12,3.18,0,0,0,2,0,0,4.22,0,0
B03_SUMMON_N__VS__B06_REFRESH_N,B03_SUMMON_N,B06_REFRESH_N,N,A_PLAYER,100,1,98,1,0.015,0,1.1,1,74.78,113.94,0.01,1.88,0,0,0,2,4.55,0,0,0
B06_REFRESH_N__VS__B03_SUMMON_N,B06_REFRESH_N,B03_SUMMON_N,N,B_PLAYER,100,96,0,4,0.98,0,1.06,1,114.13,73.01,1.89,0,0,0,1.97,0,0,4.08,0,0
B04_DEATH_N__VS__B05_SPELL_N,B04_DEATH_N,B05_SPELL_N,N,A_PLAYER,100,20,37,43,0.415,0,1.21,2,167.99,99.55,0.2,0.42,0,0,0,2,17.96,0,0,0
B05_SPELL_N__VS__B04_DEATH_N,B05_SPELL_N,B04_DEATH_N,N,B_PLAYER,100,49,18,33,0.655,0,1.3,2,93.41,153.53,0.62,0.18,0,0,2,0,0,17.1,0,0
B04_DEATH_N__VS__B06_REFRESH_N,B04_DEATH_N,B06_REFRESH_N,N,A_PLAYER,100,87,0,13,0.935,0,1.18,2,153.42,78.13,1.14,0,0,0,0,2,17.96,0,0,0
B06_REFRESH_N__VS__B04_DEATH_N,B06_REFRESH_N,B04_DEATH_N,N,B_PLAYER,100,1,88,11,0.065,0,1.2,2,76.01,148.13,0.01,1.13,0,0,2,0,0,17.54,0,0
B05_SPELL_N__VS__B06_REFRESH_N,B05_SPELL_N,B06_REFRESH_N,N,A_PLAYER,100,100,0,0,1,0,1.42,2,110.02,84.79,2.17,0,0,0,2,2,0,0,0,0
B06_REFRESH_N__VS__B05_SPELL_N,B06_REFRESH_N,B05_SPELL_N,N,B_PLAYER,100,0,97,3,0.015,0,1.44,2,85.4,111.23,0,2.07,0,0,2,2,0,0,0,0
B01_SHIELD_H__VS__B02_BREAK_H,B01_SHIELD_H,B02_BREAK_H,H,A_PLAYER,100,82,12,6,0.85,0,2.13,3,161.99,199.2,2.03,0.13,0,0,9.11,6.15,3,9,0,0
B02_BREAK_H__VS__B01_SHIELD_H,B02_BREAK_H,B01_SHIELD_H,H,B_PLAYER,100,9,78,13,0.155,0,2.23,3,221.57,176.35,0.1,1.83,0,0,6.3,9.02,9,3,0,0
B01_SHIELD_H__VS__B03_SUMMON_H,B01_SHIELD_H,B03_SUMMON_H,H,A_PLAYER,100,100,0,0,1,0,1.09,1,229.54,149.92,4.03,0,0,0,8.59,0,3,9.02,0,0
B03_SUMMON_H__VS__B01_SHIELD_H,B03_SUMMON_H,B01_SHIELD_H,H,B_PLAYER,100,0,100,0,0,0,1.07,1,156.86,235.72,0,4.1,0,0,0,8.39,8.9,3,0,0
B01_SHIELD_H__VS__B04_DEATH_H,B01_SHIELD_H,B04_DEATH_H,H,A_PLAYER,100,100,0,0,1,0,1.32,2,167.16,321.1,3.11,0,0,0,7.09,0,3,35.04,0,0
B04_DEATH_H__VS__B01_SHIELD_H,B04_DEATH_H,B01_SHIELD_H,H,B_PLAYER,100,0,100,0,0,0,1.3,2,329.55,167.05,0,3.6,0,0,0,7.25,32.98,3,0,0
B01_SHIELD_H__VS__B05_SPELL_H,B01_SHIELD_H,B05_SPELL_H,H,A_PLAYER,100,99,0,1,0.995,0,2,2,173.12,240.74,2.98,0,0,0,8.59,2,3,0,0,0
B05_SPELL_H__VS__B01_SHIELD_H,B05_SPELL_H,B01_SHIELD_H,H,B_PLAYER,100,0,100,0,0,0,1.99,2,243.51,174.07,0,3.19,0,0,2,8.59,0,3,0,0
B01_SHIELD_H__VS__B06_REFRESH_H,B01_SHIELD_H,B06_REFRESH_H,H,A_PLAYER,100,100,0,0,1,0,2,2,185.93,189.94,2.88,0,0,0,8.95,5,3,0,0,0
B06_REFRESH_H__VS__B01_SHIELD_H,B06_REFRESH_H,B01_SHIELD_H,H,B_PLAYER,100,0,100,0,0,0,2,2,188.78,182.93,0,3,0,0,5,9.03,0,3,0,0
B02_BREAK_H__VS__B03_SUMMON_H,B02_BREAK_H,B03_SUMMON_H,H,A_PLAYER,100,100,0,0,1,0,1.13,2,277.94,145.94,2.89,0,0,0,5.78,0,9,7.8,0,0
B03_SUMMON_H__VS__B02_BREAK_H,B03_SUMMON_H,B02_BREAK_H,H,B_PLAYER,100,0,100,0,0,0,1.13,2,147.42,284.87,0,2.84,0,0,0,5.55,8,9,0,0
B02_BREAK_H__VS__B04_DEATH_H,B02_BREAK_H,B04_DEATH_H,H,A_PLAYER,100,100,0,0,1,0,1.29,2,175.92,291.15,2.77,0,0,0,5.49,0,9,29.8,0,0
B04_DEATH_H__VS__B02_BREAK_H,B04_DEATH_H,B02_BREAK_H,H,B_PLAYER,100,0,100,0,0,0,1.25,2,304.02,178.65,0,2.83,0,0,0,5.17,32.94,9,0,0
B02_BREAK_H__VS__B05_SPELL_H,B02_BREAK_H,B05_SPELL_H,H,A_PLAYER,100,96,2,2,0.97,0,1.92,2,213.31,230.43,2.19,0.02,0,0,6.13,2,9,0,0,0
B05_SPELL_H__VS__B02_BREAK_H,B05_SPELL_H,B02_BREAK_H,H,B_PLAYER,100,0,94,6,0.03,0,2.01,2,211.11,191.9,0,2.14,0,0,2,5.95,0,9,0,0
B02_BREAK_H__VS__B06_REFRESH_H,B02_BREAK_H,B06_REFRESH_H,H,A_PLAYER,100,69,11,20,0.79,0,2.02,2,234.24,185.36,1.14,0.12,0,0,6.01,5,9,0,0,0
B06_REFRESH_H__VS__B02_BREAK_H,B06_REFRESH_H,B02_BREAK_H,H,B_PLAYER,100,8,67,25,0.205,0,2.08,2,171.42,213.61,0.09,1.08,0,0,5,6.05,0,9,0,0
B03_SUMMON_H__VS__B04_DEATH_H,B03_SUMMON_H,B04_DEATH_H,H,A_PLAYER,100,6,79,15,0.135,0,1.06,1,141,401.62,0.1,0.99,0,0,0,0,9.38,34,0,0
B04_DEATH_H__VS__B03_SUMMON_H,B04_DEATH_H,B03_SUMMON_H,H,B_PLAYER,100,85,5,10,0.9,0,1.05,1,398.44,137.48,1.13,0.1,0,0,0,0,34.88,9,0,0
B03_SUMMON_H__VS__B05_SPELL_H,B03_SUMMON_H,B05_SPELL_H,H,A_PLAYER,100,0,100,0,0,0,1,1,135.7,280.91,0,2.97,0,0,0,2,9.56,0,0,0
B05_SPELL_H__VS__B03_SUMMON_H,B05_SPELL_H,B03_SUMMON_H,H,B_PLAYER,100,100,0,0,1,0,1,1,280.81,132.24,3.18,0,0,0,2,0,0,8.44,0,0
B03_SUMMON_H__VS__B06_REFRESH_H,B03_SUMMON_H,B06_REFRESH_H,H,A_PLAYER,100,0,100,0,0,0,1.06,1,150.92,227.44,0,2.89,0,0,0,4.97,9.1,0,0,0
B06_REFRESH_H__VS__B03_SUMMON_H,B06_REFRESH_H,B03_SUMMON_H,H,B_PLAYER,100,100,0,0,1,0,1.05,1,226.56,146.98,2.94,0,0,0,4.94,0,0,8.16,0,0
B04_DEATH_H__VS__B05_SPELL_H,B04_DEATH_H,B05_SPELL_H,H,A_PLAYER,100,5,75,20,0.15,0,1.12,2,288.76,193.61,0.05,0.97,0,0,0,2,35.24,0,0,0
B05_SPELL_H__VS__B04_DEATH_H,B05_SPELL_H,B04_DEATH_H,H,B_PLAYER,100,72,4,24,0.84,0,1.18,2,185.95,267.71,1.05,0.04,0,0,2,0,0,33.84,0,0
B04_DEATH_H__VS__B06_REFRESH_H,B04_DEATH_H,B06_REFRESH_H,H,A_PLAYER,100,0,99,1,0.005,0,1.12,2,337.68,157.4,0,1.94,0,0,0,4.85,34.8,0,0,0
B06_REFRESH_H__VS__B04_DEATH_H,B06_REFRESH_H,B04_DEATH_H,H,B_PLAYER,100,99,0,1,0.995,0,1.15,2,154.46,318.88,2.08,0,0,0,4.91,0,0,34.1,0,0
B05_SPELL_H__VS__B06_REFRESH_H,B05_SPELL_H,B06_REFRESH_H,H,A_PLAYER,100,27,25,48,0.51,0,2,2,237.5,177.96,0.28,0.25,0,0,2,5,0,0,0,0
B06_REFRESH_H__VS__B05_SPELL_H,B06_REFRESH_H,B05_SPELL_H,H,B_PLAYER,100,44,23,33,0.605,0,1.98,2,177.68,239.25,0.49,0.25,0,0,5,2,0,0,0,0
B01_SHIELD_N__VS__D00_OUTPUT_DUMMY,B01_SHIELD_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,24,0,76,0.62,0.76,29.99,30,84.44,0,5,1.13,0,0,0,0,2,0,0,0
B01_SHIELD_N__VS__D01_MECHANIC_PRESSURE_N,B01_SHIELD_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2.04,2,91.81,79.28,0,5,0,0,7.26,0,2,0,0,0
B02_BREAK_N__VS__D00_OUTPUT_DUMMY,B02_BREAK_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,100,0,0,1,0,29.23,30,90,0,5,0,0,0,0,0,0,0,0,0
B02_BREAK_N__VS__D01_MECHANIC_PRESSURE_N,B02_BREAK_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,124.15,79.36,0,5,0,0,5,0,4,0,0,0
B03_SUMMON_N__VS__D00_OUTPUT_DUMMY,B03_SUMMON_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,0,0,100,0.5,1,30,30,79.18,0,5,3.14,0,0,0,0,0,0,0,0
B03_SUMMON_N__VS__D01_MECHANIC_PRESSURE_N,B03_SUMMON_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,1.03,1,82.43,102.16,0,5,0,0,0,0,4.4,0,0,0
B04_DEATH_N__VS__D00_OUTPUT_DUMMY,B04_DEATH_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,0,0,100,0.5,1,30,30,80.56,0,5,3.16,0,0,0,0,0,0,0,0
B04_DEATH_N__VS__D01_MECHANIC_PRESSURE_N,B04_DEATH_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,187.68,78.32,0,5,0,0,0,0,17.96,0,0,0
B05_SPELL_N__VS__D00_OUTPUT_DUMMY,B05_SPELL_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,100,0,0,1,0,20.31,21,130,0,5,0,0,0,0,0,0,0,0,0
B05_SPELL_N__VS__D01_MECHANIC_PRESSURE_N,B05_SPELL_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,125.28,77.84,0,5,0,0,2,0,0,0,0,0
B06_REFRESH_N__VS__D00_OUTPUT_DUMMY,B06_REFRESH_N,D00_OUTPUT_DUMMY,N,OUTPUT_DUMMY,100,100,0,0,1,0,27.46,28,95.91,0,5,0,0,0,0,0,0,0,0,0
B06_REFRESH_N__VS__D01_MECHANIC_PRESSURE_N,B06_REFRESH_N,D01_MECHANIC_PRESSURE_N,N,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,94.51,78.56,0,5,0,0,2,0,0,0,0,0
B01_SHIELD_H__VS__D00_OUTPUT_DUMMY,B01_SHIELD_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,16.46,17,164.36,0,5,0,0,0,0,0,2,0,0,0
B01_SHIELD_H__VS__D01_MECHANIC_PRESSURE_H,B01_SHIELD_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2.77,3,187.03,159.36,0,5,0,0,11.33,0,3,0,0,0
B02_BREAK_H__VS__D00_OUTPUT_DUMMY,B02_BREAK_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,15.06,15,180,0,5,0,0,0,0,0,0,0,0,0
B02_BREAK_H__VS__D01_MECHANIC_PRESSURE_H,B02_BREAK_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,243.91,159.36,0,5,0,0,5.71,0,9,0,0,0
B03_SUMMON_H__VS__D00_OUTPUT_DUMMY,B03_SUMMON_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,16.97,17,158.36,0,5,0,0,0,0,0,0,0,0,0
B03_SUMMON_H__VS__D01_MECHANIC_PRESSURE_H,B03_SUMMON_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,1.03,1,164.86,204.32,0,5,0,0,0,0,8.8,0,0,0
B04_DEATH_H__VS__D00_OUTPUT_DUMMY,B04_DEATH_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,16.86,17,161.12,0,5,0,0,0,0,0,0,0,0,0
B04_DEATH_H__VS__D01_MECHANIC_PRESSURE_H,B04_DEATH_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,1.33,2,401.47,144.48,0,5,0,0,0,0,34.76,0,0,0
B05_SPELL_H__VS__D00_OUTPUT_DUMMY,B05_SPELL_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,10.76,11,259.71,0,5,0,0,0,0,0,0,0,0,0
B05_SPELL_H__VS__D01_MECHANIC_PRESSURE_H,B05_SPELL_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,250.22,155.68,0,5,0,0,2,0,0,0,0,0
B06_REFRESH_H__VS__D00_OUTPUT_DUMMY,B06_REFRESH_H,D00_OUTPUT_DUMMY,H,OUTPUT_DUMMY,100,100,0,0,1,0,14.11,15,191.82,0,5,0,0,0,0,0,0,0,0,0
B06_REFRESH_H__VS__D01_MECHANIC_PRESSURE_H,B06_REFRESH_H,D01_MECHANIC_PRESSURE_H,H,MECHANIC_PRESSURE,100,0,100,0,0,0,2,2,191.32,159.52,0,5,0,0,5,0,0,0,0,0
